hgnc_symbol	uniprot_id	uniprot_swissprot	uniprot_trembl	ensembl_gene_id	description
RETN	Q9HD89	Q9HD89		ENSG00000104918	resistin [Source:HGNC Symbol;Acc:HGNC:20389]
CENPU	Q71F23	Q71F23		ENSG00000151725	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]
HSPA9	A0A7I2V2G2		A0A7I2V2G2	ENSG00000113013	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]
JMJD1C	Q15652	Q15652		ENSG00000171988	jumonji domain containing 1C [Source:HGNC Symbol;Acc:HGNC:12313]
LRRC46	J3QQW4		J3QQW4	ENSG00000141294	leucine rich repeat containing 46 [Source:HGNC Symbol;Acc:HGNC:25047]
TRAPPC5	Q8IUR0	Q8IUR0		ENSG00000181029	trafficking protein particle complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:23067]
NUP50	Q9UKX7	Q9UKX7		ENSG00000093000	nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]
RALGAPA1	H0YJ04		H0YJ04	ENSG00000174373	Ral GTPase activating protein catalytic subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:17770]
ALS2CL	Q60I27	Q60I27		ENSG00000178038	ALS2 C-terminal like [Source:HGNC Symbol;Acc:HGNC:20605]
WNT10B	O00744	O00744		ENSG00000169884	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]
SIRT5	Q9NXA8	Q9NXA8		ENSG00000124523	sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]
FERMT1	Q9BQL6	Q9BQL6		ENSG00000101311	FERM domain containing kindlin 1 [Source:HGNC Symbol;Acc:HGNC:15889]
DDN	O94850	O94850		ENSG00000181418	dendrin [Source:HGNC Symbol;Acc:HGNC:24458]
TET2	Q6N021	Q6N021		ENSG00000168769	tet methylcytosine dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:25941]
KIR2DL5B	A0A0G2JPC4		A0A0G2JPC4	ENSG00000274707	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]
DNAJC2	Q99543	Q99543		ENSG00000105821	DnaJ heat shock protein family (Hsp40) member C2 [Source:HGNC Symbol;Acc:HGNC:13192]
RHEBL1	Q8TAI7	Q8TAI7		ENSG00000167550	RHEB like 1 [Source:HGNC Symbol;Acc:HGNC:21166]
ZBTB41	Q5SVQ8	Q5SVQ8		ENSG00000177888	zinc finger and BTB domain containing 41 [Source:HGNC Symbol;Acc:HGNC:24819]
DZANK1	A0A087WVH4		A0A087WVH4	ENSG00000089091	double zinc ribbon and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:15858]
NOXA1	Q86UR1	Q86UR1		ENSG00000188747	NADPH oxidase activator 1 [Source:HGNC Symbol;Acc:HGNC:10668]
FOXD1	Q16676	Q16676		ENSG00000251493	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]
SCRN2	Q96FV2	Q96FV2	A0A384NKK8	ENSG00000141295	secernin 2 [Source:HGNC Symbol;Acc:HGNC:30381]
EFNA4	P52798	P52798		ENSG00000243364	ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224]
DHH	O43323	O43323		ENSG00000139549	desert hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:2865]
KCTD19	Q17RG1	Q17RG1		ENSG00000168676	potassium channel tetramerization domain containing 19 [Source:HGNC Symbol;Acc:HGNC:24753]
CERS3	Q8IU89	Q8IU89		ENSG00000154227	ceramide synthase 3 [Source:HGNC Symbol;Acc:HGNC:23752]
FCER2	K3W4U1		K3W4U1	ENSG00000104921	Fc epsilon receptor II [Source:HGNC Symbol;Acc:HGNC:3612]
EFNA3	P52797	P52797		ENSG00000143590	ephrin A3 [Source:HGNC Symbol;Acc:HGNC:3223]
ATXN10	Q9UBB4	Q9UBB4		ENSG00000130638	ataxin 10 [Source:HGNC Symbol;Acc:HGNC:10549]
PNPLA1	Q8N8W4	Q8N8W4		ENSG00000180316	patatin like phospholipase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21246]
IL21	Q9HBE4	Q9HBE4	A0A224B028	ENSG00000138684	interleukin 21 [Source:HGNC Symbol;Acc:HGNC:6005]
ANKRA2	Q9H9E1	Q9H9E1		ENSG00000164331	ankyrin repeat family A member 2 [Source:HGNC Symbol;Acc:HGNC:13208]
FES	C9J3W6		C9J3W6	ENSG00000182511	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]
BBS12	Q6ZW61	Q6ZW61		ENSG00000181004	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]
KPNA2	A0A7I2V487		A0A7I2V487	ENSG00000182481	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]
EFNA1	P20827	P20827		ENSG00000169242	ephrin A1 [Source:HGNC Symbol;Acc:HGNC:3221]
UBAP2	Q5T6F2	Q5T6F2		ENSG00000137073	ubiquitin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:14185]
TUBA1B	P68363	P68363		ENSG00000123416	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]
UTP15	D6RF65		D6RF65	ENSG00000164338	UTP15 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:25758]
SMC3	Q9UQE7	Q9UQE7		ENSG00000108055	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]
TMIE	A0A2R8YDZ8		A0A2R8YDZ8	ENSG00000181585	transmembrane inner ear [Source:HGNC Symbol;Acc:HGNC:30800]
HLA-DQA2	P01906	P01906	Q76NI6	ENSG00000237541	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]
PRR36	Q9H6K5	Q9H6K5		ENSG00000183248	proline rich 36 [Source:HGNC Symbol;Acc:HGNC:26172]
WNT7B	P56706	P56706		ENSG00000188064	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]
HLA-DQB2	P05538	P05538		ENSG00000232629	major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]
MYPN	A0A8I5KRJ0		A0A8I5KRJ0	ENSG00000138347	myopalladin [Source:HGNC Symbol;Acc:HGNC:23246]
LRRC8E	Q6NSJ5	Q6NSJ5		ENSG00000171017	leucine rich repeat containing 8 VRAC subunit E [Source:HGNC Symbol;Acc:HGNC:26272]
SLC50A1	Q5SR67		Q5SR67	ENSG00000169241	solute carrier family 50 member 1 [Source:HGNC Symbol;Acc:HGNC:30657]
PECAM1	P16284	P16284		ENSG00000261371	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]
HLA-DOB	E9PI00		E9PI00	ENSG00000241106	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]
PRSS50	Q9UI38	Q9UI38	A0A140VJY3	ENSG00000283706	serine protease 50 [Source:HGNC Symbol;Acc:HGNC:17910]
LIMK1	E9PC47		E9PC47	ENSG00000106683	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]
NELFA	A0A0C4DFX9		A0A0C4DFX9	ENSG00000185049	negative elongation factor complex member A [Source:HGNC Symbol;Acc:HGNC:12768]
APOBEC3A	P31941	P31941	A0A0K0MJ49	ENSG00000128383	apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]
COL4A6	Q14031	Q14031		ENSG00000197565	collagen type IV alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:2208]
LRRC36	Q1X8D7	Q1X8D7		ENSG00000159708	leucine rich repeat containing 36 [Source:HGNC Symbol;Acc:HGNC:25615]
PRSS3	A0A7P0MP65		A0A7P0MP65	ENSG00000010438	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]
ARF3	P61204	P61204		ENSG00000134287	ADP ribosylation factor 3 [Source:HGNC Symbol;Acc:HGNC:654]
LDB3	A0A0S2Z521		A0A0S2Z521	ENSG00000122367	LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]
ATXN3L	Q9H3M9	Q9H3M9		ENSG00000123594	ataxin 3 like [Source:HGNC Symbol;Acc:HGNC:24173]
POLG2	Q9UHN1	Q9UHN1	E5KS15	ENSG00000256525	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]
NAT8L	Q8N9F0	Q8N9F0		ENSG00000185818	N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]
VCX3B	Q9H321	Q9H321		ENSG00000205642	variable charge X-linked 3B [Source:HGNC Symbol;Acc:HGNC:31838]
ADNP	Q9H2P0	Q9H2P0		ENSG00000101126	activity dependent neuroprotector homeobox [Source:HGNC Symbol;Acc:HGNC:15766]
PSMC2	P35998	P35998	A0A140VK70	ENSG00000161057	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]
KCNF1	Q9H3M0	Q9H3M0		ENSG00000162975	potassium voltage-gated channel modifier subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:6246]
MAP2K7	O14733	O14733		ENSG00000076984	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]
CIMIP5	Q96LR7	Q96LR7		ENSG00000150873	ciliary microtubule inner protein 5 [Source:HGNC Symbol;Acc:HGNC:26324]
ABCC1	P33527	P33527		ENSG00000278183	ATP binding cassette subfamily C member 1 (ABCC1 blood group) [Source:HGNC Symbol;Acc:HGNC:51]
CGAS	Q8N884	Q8N884		ENSG00000164430	cyclic GMP-AMP synthase [Source:HGNC Symbol;Acc:HGNC:21367]
TPPP3	Q9BW30	Q9BW30		ENSG00000159713	tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162]
CTXN1	P60606	P60606		ENSG00000178531	cortexin 1 [Source:HGNC Symbol;Acc:HGNC:31108]
WFDC5	Q8TCV5	Q8TCV5		ENSG00000175121	WAP four-disulfide core domain 5 [Source:HGNC Symbol;Acc:HGNC:20477]
SLC66A3	C9J4B6		C9J4B6	ENSG00000162976	solute carrier family 66 member 3 [Source:HGNC Symbol;Acc:HGNC:28503]
KRTCAP2	A0A6I8PLE4		A0A6I8PLE4	ENSG00000163463	keratinocyte associated protein 2 [Source:HGNC Symbol;Acc:HGNC:28942]
ZDHHC1	I3L202		I3L202	ENSG00000159714	zinc finger DHHC-type containing 1 [Source:HGNC Symbol;Acc:HGNC:17916]
SMURF2	Q9HAU4	Q9HAU4		ENSG00000108854	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]
NPIPA1	A0A0J9YW05		A0A0J9YW05	ENSG00000281994	nuclear pore complex interacting protein family member A1 [Source:HGNC Symbol;Acc:HGNC:7909]
SLC38A5	Q8WUX1	Q8WUX1		ENSG00000017483	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]
SLC25A25	Q6KCM7	Q6KCM7		ENSG00000148339	solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]
OXR1	Q8N573	Q8N573		ENSG00000164830	oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]
DPYSL4	O14531	O14531		ENSG00000151640	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]
SREBF2	Q12772	Q12772		ENSG00000198911	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]
HSD11B2	P80365	P80365		ENSG00000176387	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]
TIMM44	O43615	O43615		ENSG00000104980	translocase of inner mitochondrial membrane 44 [Source:HGNC Symbol;Acc:HGNC:17316]
AGRP	O00253	O00253	C6SUN5	ENSG00000159723	agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]
VCX3A	Q9NNX9	Q9NNX9		ENSG00000169059	variable charge X-linked 3A [Source:HGNC Symbol;Acc:HGNC:18159]
TCEAL4	Q96EI5	Q96EI5		ENSG00000133142	transcription elongation factor A like 4 [Source:HGNC Symbol;Acc:HGNC:26121]
SAR1B	Q9Y6B6	Q9Y6B6		ENSG00000152700	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]
EBF4	E9PEI2		E9PEI2	ENSG00000088881	EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]
MOV10L1	Q9BXT6	Q9BXT6		ENSG00000073146	Mov10 like RNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:7201]
DNAJB5	A0A7I2RN43		A0A7I2RN43	ENSG00000137094	DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]
COG8	H3BSH5		H3BSH5	ENSG00000213380	component of oligomeric golgi complex 8 [Source:HGNC Symbol;Acc:HGNC:18623]
E2F6	F8WEZ5		F8WEZ5	ENSG00000169016	E2F transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:3120]
SPPL2B	A0A087WWL4		A0A087WWL4	ENSG00000005206	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]
CROT	Q9UKG9	Q9UKG9		ENSG00000005469	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
TTLL9	Q3SXZ7	Q3SXZ7		ENSG00000131044	tubulin tyrosine ligase like 9 [Source:HGNC Symbol;Acc:HGNC:16118]
PTH1R	Q03431	Q03431		ENSG00000160801	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]
PDF	Q9HBH1	Q9HBH1		ENSG00000258429	peptide deformylase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:30012]
COPS7A	G3XAP1		G3XAP1	ENSG00000111652	COP9 signalosome subunit 7A [Source:HGNC Symbol;Acc:HGNC:16758]
SDR16C5	Q8N3Y7	Q8N3Y7		ENSG00000170786	short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]
NIP7	J3QLW7		J3QLW7	ENSG00000132603	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]
MAN1B1	A0A804HHU1		A0A804HHU1	ENSG00000177239	mannosidase alpha class 1B member 1 [Source:HGNC Symbol;Acc:HGNC:6823]
SEC24A	O95486	O95486		ENSG00000113615	SEC24 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10703]
MYT1	A0A2R8Y3S5		A0A2R8Y3S5	ENSG00000196132	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]
BRCC3	P46736	P46736		ENSG00000185515	BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]
CAMLG	A0A7I2V518		A0A7I2V518	ENSG00000164615	calcium modulating ligand [Source:HGNC Symbol;Acc:HGNC:1471]
TMED6	Q8WW62	Q8WW62		ENSG00000157315	transmembrane p24 trafficking protein 6 [Source:HGNC Symbol;Acc:HGNC:28331]
NPBWR2	P48146	P48146		ENSG00000125522	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]
THBS3	P49746	P49746		ENSG00000169231	thrombospondin 3 [Source:HGNC Symbol;Acc:HGNC:11787]
OR1J1	Q8NGS3	Q8NGS3	A0A126GWP9	ENSG00000136834	olfactory receptor family 1 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:8208]
OR1J2	Q8NGS2	Q8NGS2	A0A126GW18	ENSG00000197233	olfactory receptor family 1 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:8209]
OR1J4	Q8NGS1	Q8NGS1	A0A126GW06	ENSG00000239590	olfactory receptor family 1 subfamily J member 4 [Source:HGNC Symbol;Acc:HGNC:8211]
OR1Q1	Q15612	Q15612		ENSG00000165202	olfactory receptor family 1 subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:8223]
PCMTD2	F8W9F3		F8W9F3	ENSG00000203880	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]
OR1L1	Q8NH94	Q8NH94		ENSG00000173679	olfactory receptor family 1 subfamily L member 1 [Source:HGNC Symbol;Acc:HGNC:8213]
NAB1	C9JL92		C9JL92	ENSG00000138386	NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]
CCNE2	O96020	O96020		ENSG00000175305	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]
SSTR4	P31391	P31391		ENSG00000132671	somatostatin receptor 4 [Source:HGNC Symbol;Acc:HGNC:11333]
THBD	P07204	P07204		ENSG00000178726	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]
DDX46	D6RJA6		D6RJA6	ENSG00000145833	DEAD-box helicase 46 [Source:HGNC Symbol;Acc:HGNC:18681]
TERF2	Q15554	Q15554		ENSG00000132604	telomeric repeat binding factor 2 [Source:HGNC Symbol;Acc:HGNC:11729]
OR4F21	O95013	O95013		ENSG00000176269	olfactory receptor family 4 subfamily F member 21 [Source:HGNC Symbol;Acc:HGNC:19583]
NKX2-6	A6NCS4	A6NCS4		ENSG00000180053	NK2 homeobox 6 [Source:HGNC Symbol;Acc:HGNC:32940]
ZNF493	M0QXT4		M0QXT4	ENSG00000196268	zinc finger protein 493 [Source:HGNC Symbol;Acc:HGNC:23708]
TDRP	Q86YL5	Q86YL5		ENSG00000180190	testis development related protein [Source:HGNC Symbol;Acc:HGNC:26951]
RGS19	P49795	P49795		ENSG00000171700	regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]
LKAAEAR1	Q8TD35	Q8TD35		ENSG00000171695	LKAAEAR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:33718]
LRP12	Q9Y561	Q9Y561		ENSG00000147650	LDL receptor related protein 12 [Source:HGNC Symbol;Acc:HGNC:31708]
JAKMIP3	Q5VZ66	Q5VZ66		ENSG00000188385	Janus kinase and microtubule interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23523]
EMILIN3	Q9NT22	Q9NT22		ENSG00000183798	elastin microfibril interfacer 3 [Source:HGNC Symbol;Acc:HGNC:16123]
NOMO3	P69849	P69849		ENSG00000278087	NODAL modulator 3 [Source:HGNC Symbol;Acc:HGNC:25242]
GLIS3	Q8NEA6	Q8NEA6	A0A0S2Z689	ENSG00000107249	GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:28510]
NBEAL2	Q6ZNJ1	Q6ZNJ1		ENSG00000160796	neurobeachin like 2 [Source:HGNC Symbol;Acc:HGNC:31928]
IDH3G	P51553	P51553		ENSG00000067829	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]
MAFA	Q8NHW3	Q8NHW3		ENSG00000182759	MAF bZIP transcription factor A [Source:HGNC Symbol;Acc:HGNC:23145]
ABCB4	P21439	P21439		ENSG00000005471	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]
LIME1	X6RKG5		X6RKG5	ENSG00000203896	Lck interacting transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26016]
ACSF3	F5H3B2		F5H3B2	ENSG00000176715	acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288]
C5orf24	Q7Z6I8	Q7Z6I8		ENSG00000181904	chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]
ZC3H3	Q8IXZ2	Q8IXZ2		ENSG00000014164	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]
PANO1	I0J062	I0J062		ENSG00000288675	proapoptotic nucleolar protein 1 [Source:HGNC Symbol;Acc:HGNC:51237]
FAM47A	Q5JRC9	Q5JRC9		ENSG00000185448	family with sequence similarity 47 member A [Source:HGNC Symbol;Acc:HGNC:29962]
NSD2	O96028	O96028		ENSG00000109685	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]
TXNDC15	D6R962		D6R962	ENSG00000113621	thioredoxin domain containing 15 [Source:HGNC Symbol;Acc:HGNC:20652]
ABHD16B	Q9H3Z7	Q9H3Z7		ENSG00000183260	abhydrolase domain containing 16B [Source:HGNC Symbol;Acc:HGNC:16128]
AGAP4	Q96P64	Q96P64		ENSG00000188234	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 [Source:HGNC Symbol;Acc:HGNC:23459]
DDX5	P17844	P17844		ENSG00000108654	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]
APOOL	Q6UXV4	Q6UXV4		ENSG00000155008	apolipoprotein O like [Source:HGNC Symbol;Acc:HGNC:24009]
FBP2	O00757	O00757		ENSG00000130957	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]
MAP4K5	Q9Y4K4	Q9Y4K4		ENSG00000012983	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]
GBA1	P04062	P04062	A0A068F658	ENSG00000177628	glucosylceramidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4177]
ATP6V1E2	Q96A05	Q96A05	A0A140VKA8	ENSG00000250565	ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125]
ATOX1	E5RIM7		E5RIM7	ENSG00000177556	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]
PLS3	F2Z2Z9		F2Z2Z9	ENSG00000102024	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]
PARVA	Q9NVD7	Q9NVD7		ENSG00000197702	parvin alpha [Source:HGNC Symbol;Acc:HGNC:14652]
DYNC1H1	A0A7P0TAS7		A0A7P0TAS7	ENSG00000197102	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]
FBP1	A0A3B3IUC7		A0A3B3IUC7	ENSG00000165140	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]
RHOQ	P17081	P17081	V9HWD0	ENSG00000119729	ras homolog family member Q [Source:HGNC Symbol;Acc:HGNC:17736]
ACVR2B	Q13705	Q13705		ENSG00000114739	activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]
OR10G6	Q8NH81	Q8NH81	A0A126GVD6	ENSG00000198674	olfactory receptor family 10 subfamily G member 6 [Source:HGNC Symbol;Acc:HGNC:14836]
OR10G9	Q8NGN4	Q8NGN4		ENSG00000236981	olfactory receptor family 10 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:15129]
LAG3	P18627	P18627		ENSG00000089692	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]
TTC9C	E9PKV8		E9PKV8	ENSG00000162222	tetratricopeptide repeat domain 9C [Source:HGNC Symbol;Acc:HGNC:28432]
HCN3	Q9P1Z3	Q9P1Z3		ENSG00000143630	hyperpolarization activated cyclic nucleotide gated potassium channel 3 [Source:HGNC Symbol;Acc:HGNC:19183]
GSDMD	P57764	P57764		ENSG00000104518	gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]
ZBTB3	A0A6E1W9L1		A0A6E1W9L1	ENSG00000185670	zinc finger and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22918]
MEGF9	Q9H1U4	Q9H1U4		ENSG00000106780	multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]
GLRA1	P23415	P23415		ENSG00000145888	glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]
POLR2G	E9PS03		E9PS03	ENSG00000168002	RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194]
HGS	A0A7I2V3Z1		A0A7I2V3Z1	ENSG00000185359	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]
CDH15	P55291	P55291		ENSG00000129910	cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]
UGT1A9	O60656	O60656	Q5DSZ5	ENSG00000241119	UDP glucuronosyltransferase family 1 member A9 [Source:HGNC Symbol;Acc:HGNC:12541]
RXFP3	Q9NSD7	Q9NSD7		ENSG00000182631	relaxin family peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:24883]
PKLR	P30613	P30613		ENSG00000143627	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]
ZNF778	A0A0A0MSW5		A0A0A0MSW5	ENSG00000170100	zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]
TPD52L2	A0A087WZ51		A0A087WZ51	ENSG00000101150	TPD52 like 2 [Source:HGNC Symbol;Acc:HGNC:12007]
TAF6L	E9PLV8		E9PLV8	ENSG00000162227	TATA-box binding protein associated factor 6 like [Source:HGNC Symbol;Acc:HGNC:17305]
CHEK2	H0Y820		H0Y820	ENSG00000183765	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]
MROH6	E9PJR4		E9PJR4	ENSG00000204839	maestro heat like repeat family member 6 [Source:HGNC Symbol;Acc:HGNC:27814]
ZNF639	Q9UID6	Q9UID6		ENSG00000121864	zinc finger protein 639 [Source:HGNC Symbol;Acc:HGNC:30950]
CD209	Q9NNX6	Q9NNX6		ENSG00000090659	CD209 molecule [Source:HGNC Symbol;Acc:HGNC:1641]
SLC45A2	Q9UMX9	Q9UMX9	A0A076YIB8	ENSG00000164175	solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]
TEX13D	A0A0J9YY54	A0A0J9YY54		ENSG00000282419	TEX13 family member D [Source:HGNC Symbol;Acc:HGNC:52278]
CR1L	Q2VPA4	Q2VPA4		ENSG00000197721	complement C3b/C4b receptor 1 like [Source:HGNC Symbol;Acc:HGNC:2335]
CD4	P01730	P01730	A0A4Y5UGE4	ENSG00000010610	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]
C1QTNF3-AMACR	E9PGA6		E9PGA6	ENSG00000273294	C1QTNF3-AMACR readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49198]
ABCB1	P08183	P08183	A4D1D2	ENSG00000085563	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]
TMEM223	H0YCK4		H0YCK4	ENSG00000168569	transmembrane protein 223 [Source:HGNC Symbol;Acc:HGNC:28464]
C1QTNF3	Q9BXJ4	Q9BXJ4		ENSG00000082196	C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]
USO1	O60763	O60763		ENSG00000138768	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]
TMEM179B	Q7Z7N9	Q7Z7N9		ENSG00000185475	transmembrane protein 179B [Source:HGNC Symbol;Acc:HGNC:33744]
GPRIN1	Q7Z2K8	Q7Z2K8		ENSG00000169258	G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]
PLCD3	Q8N3E9	Q8N3E9		ENSG00000161714	phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]
CD34	P28906	P28906		ENSG00000174059	CD34 molecule [Source:HGNC Symbol;Acc:HGNC:1662]
NAPRT	A0A087WUT5		A0A087WUT5	ENSG00000147813	nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]
BLM	P54132	P54132		ENSG00000197299	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]
PPIA	C9J5S7		C9J5S7	ENSG00000196262	peptidylprolyl isomerase A [Source:HGNC Symbol;Acc:HGNC:9253]
PEX11G	Q96HA9	Q96HA9		ENSG00000104883	peroxisomal biogenesis factor 11 gamma [Source:HGNC Symbol;Acc:HGNC:20208]
